Files already downloaded and verified
[EPOCH: 1] 	Train Loss: 2.1325, 	Train Accuracy: 0.1957
[EPOCH: 1] 	Test Loss: 2.0796, 	Test Accuracy: 0.2659

[EPOCH: 2] 	Train Loss: 1.9266, 	Train Accuracy: 0.2711
[EPOCH: 2] 	Test Loss: 1.8162, 	Test Accuracy: 0.3177

[EPOCH: 3] 	Train Loss: 1.8535, 	Train Accuracy: 0.3036
[EPOCH: 3] 	Test Loss: 1.6754, 	Test Accuracy: 0.3735

[EPOCH: 4] 	Train Loss: 1.7957, 	Train Accuracy: 0.3309
[EPOCH: 4] 	Test Loss: 1.5646, 	Test Accuracy: 0.4262

[EPOCH: 5] 	Train Loss: 1.7362, 	Train Accuracy: 0.3617
[EPOCH: 5] 	Test Loss: 1.5087, 	Test Accuracy: 0.4506

[EPOCH: 6] 	Train Loss: 1.6727, 	Train Accuracy: 0.3871
[EPOCH: 6] 	Test Loss: 1.4478, 	Test Accuracy: 0.4676

[EPOCH: 7] 	Train Loss: 1.6285, 	Train Accuracy: 0.4068
[EPOCH: 7] 	Test Loss: 1.4150, 	Test Accuracy: 0.4975

[EPOCH: 8] 	Train Loss: 1.5779, 	Train Accuracy: 0.4247
[EPOCH: 8] 	Test Loss: 1.3123, 	Test Accuracy: 0.5349

[EPOCH: 9] 	Train Loss: 1.5264, 	Train Accuracy: 0.4472
[EPOCH: 9] 	Test Loss: 1.2803, 	Test Accuracy: 0.5515

[EPOCH: 10] 	Train Loss: 1.4958, 	Train Accuracy: 0.4609
[EPOCH: 10] 	Test Loss: 1.2365, 	Test Accuracy: 0.5575

[EPOCH: 11] 	Train Loss: 1.4721, 	Train Accuracy: 0.4674
[EPOCH: 11] 	Test Loss: 1.2383, 	Test Accuracy: 0.5645

[EPOCH: 12] 	Train Loss: 1.4372, 	Train Accuracy: 0.4834
[EPOCH: 12] 	Test Loss: 1.1718, 	Test Accuracy: 0.5849

[EPOCH: 13] 	Train Loss: 1.4063, 	Train Accuracy: 0.4928
[EPOCH: 13] 	Test Loss: 1.1313, 	Test Accuracy: 0.5982

[EPOCH: 14] 	Train Loss: 1.3807, 	Train Accuracy: 0.5037
[EPOCH: 14] 	Test Loss: 1.1196, 	Test Accuracy: 0.6061

[EPOCH: 15] 	Train Loss: 1.3566, 	Train Accuracy: 0.5132
[EPOCH: 15] 	Test Loss: 1.1018, 	Test Accuracy: 0.6062

[EPOCH: 16] 	Train Loss: 1.3368, 	Train Accuracy: 0.5200
[EPOCH: 16] 	Test Loss: 1.1053, 	Test Accuracy: 0.6011

[EPOCH: 17] 	Train Loss: 1.3150, 	Train Accuracy: 0.5264
[EPOCH: 17] 	Test Loss: 1.1035, 	Test Accuracy: 0.6186

[EPOCH: 18] 	Train Loss: 1.2948, 	Train Accuracy: 0.5371
[EPOCH: 18] 	Test Loss: 1.0674, 	Test Accuracy: 0.6236

[EPOCH: 19] 	Train Loss: 1.2813, 	Train Accuracy: 0.5378
[EPOCH: 19] 	Test Loss: 1.0734, 	Test Accuracy: 0.6234

[EPOCH: 20] 	Train Loss: 1.2654, 	Train Accuracy: 0.5485
[EPOCH: 20] 	Test Loss: 1.0065, 	Test Accuracy: 0.6462

[EPOCH: 21] 	Train Loss: 1.2461, 	Train Accuracy: 0.5527
[EPOCH: 21] 	Test Loss: 1.0303, 	Test Accuracy: 0.6408

[EPOCH: 22] 	Train Loss: 1.2335, 	Train Accuracy: 0.5575
[EPOCH: 22] 	Test Loss: 0.9818, 	Test Accuracy: 0.6549

[EPOCH: 23] 	Train Loss: 1.2213, 	Train Accuracy: 0.5615
[EPOCH: 23] 	Test Loss: 1.0360, 	Test Accuracy: 0.6474

[EPOCH: 24] 	Train Loss: 1.2033, 	Train Accuracy: 0.5699
[EPOCH: 24] 	Test Loss: 0.9905, 	Test Accuracy: 0.6546

[EPOCH: 25] 	Train Loss: 1.1922, 	Train Accuracy: 0.5738
[EPOCH: 25] 	Test Loss: 1.0545, 	Test Accuracy: 0.6551

[EPOCH: 26] 	Train Loss: 1.1794, 	Train Accuracy: 0.5791
[EPOCH: 26] 	Test Loss: 1.0427, 	Test Accuracy: 0.6574

[EPOCH: 27] 	Train Loss: 1.1699, 	Train Accuracy: 0.5850
[EPOCH: 27] 	Test Loss: 1.0068, 	Test Accuracy: 0.6603

[EPOCH: 28] 	Train Loss: 1.1592, 	Train Accuracy: 0.5877
[EPOCH: 28] 	Test Loss: 0.9974, 	Test Accuracy: 0.6694

[EPOCH: 29] 	Train Loss: 1.1470, 	Train Accuracy: 0.5932
[EPOCH: 29] 	Test Loss: 0.9789, 	Test Accuracy: 0.6764

