DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-03-23 01:21:39,2048,1,Total,0.7129643692292857,-1
2025-03-23 01:21:39,2048,1,ball,0.6182770581555568,-1
2025-03-23 01:21:39,2048,1,inner,0.9809069212410501,-1
2025-03-23 01:21:39,2048,1,outer,0.5397091282912503,-1
2025-03-23 02:14:07,2048,100,Total,0.5,-1
2025-03-23 02:14:07,2048,100,ball,0.5,-1
2025-03-23 02:14:07,2048,100,inner,0.5,-1
2025-03-23 02:14:07,2048,100,outer,0.5,-1
2025-03-23 02:19:08,1024,100,Total,0.5,-1
2025-03-23 02:19:08,1024,100,ball,0.5,-1
2025-03-23 02:19:08,1024,100,inner,0.5,-1
2025-03-23 02:19:08,1024,100,outer,0.5,-1
2025-03-23 02:24:25,512,100,Total,0.5,-1
2025-03-23 02:24:25,512,100,ball,0.5,-1
2025-03-23 02:24:25,512,100,inner,0.5,-1
2025-03-23 02:24:25,512,100,outer,0.5,-1
2025-03-23 02:29:30,256,100,Total,0.5,-1
2025-03-23 02:29:30,256,100,ball,0.5,-1
2025-03-23 02:29:30,256,100,inner,0.5,-1
2025-03-23 02:29:30,256,100,outer,0.5,-1
2025-03-23 02:34:39,128,100,Total,0.5,-1
2025-03-23 02:34:39,128,100,ball,0.5,-1
2025-03-23 02:34:39,128,100,inner,0.5,-1
2025-03-23 02:34:39,128,100,outer,0.5,-1
2025-03-23 20:18:40,2048,100,Total,0.6913071529853911,-1
2025-03-23 20:18:40,2048,100,ball,0.5722158509748009,-1
2025-03-23 20:18:40,2048,100,inner,1.0,-1
2025-03-23 20:18:40,2048,100,outer,0.5017056079813728,-1
2025-03-23 20:21:51,1024,100,Total,0.6991830949359698,-1
2025-03-23 20:21:51,1024,100,ball,0.5753855622211014,-1
2025-03-23 20:21:51,1024,100,inner,1.0,-1
2025-03-23 20:21:51,1024,100,outer,0.5221637225868078,-1
2025-03-23 20:25:03,512,100,Total,0.6892979480200134,-1
2025-03-23 20:25:03,512,100,ball,0.5485040091896243,-1
2025-03-23 20:25:03,512,100,inner,1.0,-1
2025-03-23 20:25:03,512,100,outer,0.5193898348704163,-1
2025-03-23 20:28:06,256,100,Total,0.6930318590548576,-1
2025-03-23 20:28:06,256,100,ball,0.5566508778702313,-1
2025-03-23 20:28:06,256,100,inner,1.0,-1
2025-03-23 20:28:06,256,100,outer,0.5224446992943413,-1
2025-03-23 20:30:59,128,100,Total,0.5,-1
2025-03-23 20:30:59,128,100,ball,0.5,-1
2025-03-23 20:30:59,128,100,inner,0.5,-1
2025-03-23 20:30:59,128,100,outer,0.5,-1
2025-03-23 21:05:33,2048,100,Total,0.6446268233586524,-1
2025-03-23 21:05:33,2048,100,ball,0.45108396521392835,-1
2025-03-23 21:05:33,2048,100,inner,1.0,-1
2025-03-23 21:05:33,2048,100,outer,0.48279650486202885,-1
2025-03-23 21:08:40,1024,100,Total,0.6854650478375798,-1
2025-03-23 21:08:40,1024,100,ball,0.5593161178157924,-1
2025-03-23 21:08:40,1024,100,inner,1.0,-1
2025-03-23 21:08:40,1024,100,outer,0.49707902569694723,-1
2025-03-23 21:11:51,512,100,Total,0.7128228477002614,-1
2025-03-23 21:11:51,512,100,ball,0.6068960221813335,-1
2025-03-23 21:11:51,512,100,inner,1.0,-1
2025-03-23 21:11:51,512,100,outer,0.5315725209194508,-1
2025-03-23 21:14:53,256,100,Total,0.338997113997114,-1
2025-03-23 21:14:53,256,100,ball,0.5,-1
2025-03-23 21:14:53,256,100,inner,0.01699134199134199,-1
2025-03-23 21:14:53,256,100,outer,0.5,-1
2025-03-23 21:18:01,128,100,Total,0.5,-1
2025-03-23 21:18:01,128,100,ball,0.5,-1
2025-03-23 21:18:01,128,100,inner,0.5,-1
2025-03-23 21:18:01,128,100,outer,0.5,-1
