DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-03-25 01:45:20,256,100,Total,0.6363785391340175,-1
2025-03-25 01:45:20,256,100,ball,0.4369109844375628,-1
2025-03-25 01:45:20,256,100,inner,0.9969710119200246,-1
2025-03-25 01:45:20,256,100,outer,0.475253621044465,-1
2025-03-25 01:56:19,256,100,Total,0.6344921333096643,-1
2025-03-25 01:56:19,256,100,ball,0.46484632926919756,-1
2025-03-25 01:56:19,256,100,inner,0.9652723027316217,-1
2025-03-25 01:56:19,256,100,outer,0.47335776792817363,-1
2025-03-25 01:59:26,256,100,Total,0.660821743768153,-1
2025-03-25 01:59:26,256,100,ball,0.4751321759891949,-1
2025-03-25 01:59:26,256,100,inner,0.9492522628886266,-1
2025-03-25 01:59:26,256,100,outer,0.5580807924266376,-1
2025-03-25 02:02:58,256,100,Total,0.6148981915362909,-1
2025-03-25 02:02:58,256,100,ball,0.48203162643388286,-1
2025-03-25 02:02:58,256,100,inner,0.880961139460814,-1
2025-03-25 02:02:58,256,100,outer,0.4817018087141758,-1
2025-03-25 02:12:23,256,100,Total,0.5781257230270032,-1
2025-03-25 02:12:23,256,100,ball,0.34709466421334506,-1
2025-03-25 02:12:23,256,100,inner,0.9369131916756129,-1
2025-03-25 02:12:23,256,100,outer,0.4503693131920513,-1
2025-03-26 04:35:15,256,100,Total,0.6343109754207606,-1
2025-03-26 04:35:15,256,100,ball,0.5121208833836302,-1
2025-03-26 04:35:15,256,100,inner,0.8742657646107418,-1
2025-03-26 04:35:15,256,100,outer,0.5165462782679098,-1
