DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-03-23 01:26:15,2048,100,Total,0.5,-1
2025-03-23 01:26:15,2048,100,ball,0.5,-1
2025-03-23 01:26:15,2048,100,inner,0.5,-1
2025-03-23 01:26:15,2048,100,outer,0.5,-1
2025-03-23 01:30:59,1024,100,Total,0.5,-1
2025-03-23 01:30:59,1024,100,ball,0.5,-1
2025-03-23 01:30:59,1024,100,inner,0.5,-1
2025-03-23 01:30:59,1024,100,outer,0.5,-1
2025-03-23 01:35:48,512,100,Total,0.5,-1
2025-03-23 01:35:48,512,100,ball,0.5,-1
2025-03-23 01:35:48,512,100,inner,0.5,-1
2025-03-23 01:35:48,512,100,outer,0.5,-1
2025-03-23 01:40:24,256,100,Total,0.5,-1
2025-03-23 01:40:24,256,100,ball,0.5,-1
2025-03-23 01:40:24,256,100,inner,0.5,-1
2025-03-23 01:40:24,256,100,outer,0.5,-1
2025-03-23 01:44:58,128,100,Total,0.5,-1
2025-03-23 01:44:58,128,100,ball,0.5,-1
2025-03-23 01:44:58,128,100,inner,0.5,-1
2025-03-23 01:44:58,128,100,outer,0.5,-1
2025-03-23 20:04:06,2048,100,Total,0.63518444683014,-1
2025-03-23 20:04:06,2048,100,ball,0.40974472117887173,-1
2025-03-23 20:04:06,2048,100,inner,1.0,-1
2025-03-23 20:04:06,2048,100,outer,0.4958086193115484,-1
2025-03-23 20:07:08,1024,100,Total,0.6874605788849658,-1
2025-03-23 20:07:08,1024,100,ball,0.551177279724687,-1
2025-03-23 20:07:08,1024,100,inner,1.0,-1
2025-03-23 20:07:08,1024,100,outer,0.5112044569302109,-1
2025-03-23 20:10:07,512,100,Total,0.7202527475417472,-1
2025-03-23 20:10:07,512,100,ball,0.6540213294335663,-1
2025-03-23 20:10:07,512,100,inner,1.0,-1
2025-03-23 20:10:07,512,100,outer,0.5067369131916756,-1
2025-03-23 20:13:00,256,100,Total,0.6506718535195428,-1
2025-03-23 20:13:00,256,100,ball,0.4185910495088191,-1
2025-03-23 20:13:00,256,100,inner,1.0,-1
2025-03-23 20:13:00,256,100,outer,0.5334245110498094,-1
2025-03-23 20:15:43,128,100,Total,0.7020940583969439,-1
2025-03-23 20:15:43,128,100,ball,0.5790395978506198,-1
2025-03-23 20:15:43,128,100,inner,0.9991977863750482,-1
2025-03-23 20:15:43,128,100,outer,0.5280447909651642,-1
2025-03-23 20:51:01,2048,100,Total,0.6436405245149008,-1
2025-03-23 20:51:01,2048,100,ball,0.4239032609828878,-1
2025-03-23 20:51:01,2048,100,inner,0.9999999530374883,-1
2025-03-23 20:51:01,2048,100,outer,0.5070183595243261,-1
2025-03-23 20:53:59,1024,100,Total,0.6953411936054592,-1
2025-03-23 20:53:59,1024,100,ball,0.58383855603426,-1
2025-03-23 20:53:59,1024,100,inner,1.0,-1
2025-03-23 20:53:59,1024,100,outer,0.5021850247821175,-1
2025-03-23 20:56:54,512,100,Total,0.6770148326396971,-1
2025-03-23 20:56:54,512,100,ball,0.5133850202737164,-1
2025-03-23 20:56:54,512,100,inner,1.0,-1
2025-03-23 20:56:54,512,100,outer,0.5176594776453748,-1
2025-03-23 20:59:44,256,100,Total,0.6697861749879542,-1
2025-03-23 20:59:44,256,100,ball,0.49050495501461,-1
2025-03-23 20:59:44,256,100,inner,1.0,-1
2025-03-23 20:59:44,256,100,outer,0.5188535699492524,-1
2025-03-23 21:02:32,128,100,Total,0.6734975753255207,-1
2025-03-23 21:02:32,128,100,ball,0.5026601679942968,-1
2025-03-23 21:02:32,128,100,inner,1.0,-1
2025-03-23 21:02:32,128,100,outer,0.5178325579822651,-1
