DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-03-23 02:39:35,2048,100,Total,0.6317313481340385,-1
2025-03-23 02:39:35,2048,100,ball,0.43185147823898096,-1
2025-03-23 02:39:35,2048,100,inner,1.0,-1
2025-03-23 02:39:35,2048,100,outer,0.46334256616313463,-1
2025-03-23 02:44:59,1024,100,Total,0.5,-1
2025-03-23 02:44:59,1024,100,ball,0.5,-1
2025-03-23 02:44:59,1024,100,inner,0.5,-1
2025-03-23 02:44:59,1024,100,outer,0.5,-1
2025-03-23 02:50:24,512,100,Total,0.7052674483733282,-1
2025-03-23 02:50:24,512,100,ball,0.5714517709093538,-1
2025-03-23 02:50:24,512,100,inner,0.9999999999999999,-1
2025-03-23 02:50:24,512,100,outer,0.5443505742106307,-1
2025-03-23 02:55:36,256,100,Total,0.5,-1
2025-03-23 02:55:36,256,100,ball,0.5,-1
2025-03-23 02:55:36,256,100,inner,0.5,-1
2025-03-23 02:55:36,256,100,outer,0.5,-1
2025-03-23 03:00:55,128,100,Total,0.5,-1
2025-03-23 03:00:55,128,100,ball,0.5,-1
2025-03-23 03:00:55,128,100,inner,0.5,-1
2025-03-23 03:00:55,128,100,outer,0.5,-1
2025-03-23 21:35:23,2048,100,Total,0.6760352885705456,-1
2025-03-23 21:35:23,2048,100,ball,0.5376162674383547,-1
2025-03-23 21:35:23,2048,100,inner,1.0,-1
2025-03-23 21:35:23,2048,100,outer,0.49048959827328237,-1
2025-03-23 21:38:44,1024,100,Total,0.6552858185424902,-1
2025-03-23 21:38:44,1024,100,ball,0.47309480134387927,-1
2025-03-23 21:38:44,1024,100,inner,1.0,-1
2025-03-23 21:38:44,1024,100,outer,0.49276265428359156,-1
2025-03-23 21:41:55,512,100,Total,0.6676998027887591,-1
2025-03-23 21:41:55,512,100,ball,0.4962442905326394,-1
2025-03-23 21:41:55,512,100,inner,1.0,-1
2025-03-23 21:41:55,512,100,outer,0.506855117833638,-1
2025-03-23 21:45:04,256,100,Total,0.6332582872396281,-1
2025-03-23 21:45:04,256,100,ball,0.43033116084754186,-1
2025-03-23 21:45:04,256,100,inner,1.0,-1
2025-03-23 21:45:04,256,100,outer,0.4694437008713424,-1
2025-03-23 21:48:15,128,100,Total,0.6938450462533778,-1
2025-03-23 21:48:15,128,100,ball,0.5810753522892816,-1
2025-03-23 21:48:15,128,100,inner,1.0,-1
2025-03-23 21:48:15,128,100,outer,0.5004597864708518,-1
