DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-02-25 12:58:06,2048,1,Total,0.7313686253477965,13.669023649910027
2025-02-25 12:58:06,2048,1,ball,0.6589230415928181,13.669023649910027
2025-02-25 12:58:06,2048,1,inner,1.0,13.669023649910027
2025-02-25 12:58:06,2048,1,outer,0.5351828344505715,13.669023649910027
2025-02-25 12:59:06,1024,1,Total,0.7313686253477965,13.669028828129703
2025-02-25 12:59:06,1024,1,ball,0.6589230415928181,13.669028828129703
2025-02-25 12:59:06,1024,1,inner,1.0,13.669028828129703
2025-02-25 12:59:06,1024,1,outer,0.5351828344505715,13.669028828129703
2025-02-25 13:00:06,512,1,Total,0.7313686253477965,13.66881600412361
2025-02-25 13:00:06,512,1,ball,0.6589230415928181,13.66881600412361
2025-02-25 13:00:06,512,1,inner,1.0,13.66881600412361
2025-02-25 13:00:06,512,1,outer,0.5351828344505715,13.66881600412361
2025-02-25 13:01:06,256,1,Total,0.7313686253477965,13.668815116111542
2025-02-25 13:01:06,256,1,ball,0.6589230415928181,13.668815116111542
2025-02-25 13:01:06,256,1,inner,1.0,13.668815116111542
2025-02-25 13:01:06,256,1,outer,0.5351828344505715,13.668815116111542
2025-02-25 13:02:06,128,1,Total,0.7313686253477965,13.668815694601584
2025-02-25 13:02:06,128,1,ball,0.6589230415928181,13.668815694601584
2025-02-25 13:02:06,128,1,inner,1.0,13.668815694601584
2025-02-25 13:02:06,128,1,outer,0.5351828344505715,13.668815694601584
2025-02-25 13:02:49,100,1,Total,0.7313686253477965,13.668814081277574
2025-02-25 13:02:49,100,1,ball,0.6589230415928181,13.668814081277574
2025-02-25 13:02:49,100,1,inner,1.0,13.668814081277574
2025-02-25 13:02:49,100,1,outer,0.5351828344505715,13.668814081277574
2025-02-25 13:03:31,4,1,Total,0.7313686253477965,13.668988740330217
2025-02-25 13:03:31,4,1,ball,0.6589230415928181,13.668988740330217
2025-02-25 13:03:31,4,1,inner,1.0,13.668988740330217
2025-02-25 13:03:31,4,1,outer,0.5351828344505715,13.668988740330217
