DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-02-25 14:22:37,2048,1,Total,0.8639298572199005,381107.6264056353
2025-02-25 14:22:37,2048,1,ball,0.6567550062571708,381107.6264056353
2025-02-25 14:22:37,2048,1,inner,1.0,381107.6264056353
2025-02-25 14:22:37,2048,1,outer,0.9350345654025307,381107.6264056353
2025-02-25 16:08:55,2048,500,Total,0.862109895075263,356828.9511196739
2025-02-25 16:08:55,2048,500,ball,0.6466218774010982,356828.9511196739
2025-02-25 16:08:55,2048,500,inner,1.0,356828.9511196739
2025-02-25 16:08:55,2048,500,outer,0.939707807824691,356828.9511196739
2025-02-25 16:21:31,1024,500,Total,0.8618249040254813,359115.3569297309
2025-02-25 16:21:31,1024,500,ball,0.6447642160629175,359115.3569297309
2025-02-25 16:21:31,1024,500,inner,1.0,359115.3569297309
2025-02-25 16:21:31,1024,500,outer,0.9407104960135263,359115.3569297309
2025-02-25 16:34:45,512,500,Total,0.8612637853835545,363353.79789492674
2025-02-25 16:34:45,512,500,ball,0.6431073776311872,363353.79789492674
2025-02-25 16:34:45,512,500,inner,1.0,363353.79789492674
2025-02-25 16:34:45,512,500,outer,0.9406839785194763,363353.79789492674
2025-02-25 16:46:50,256,500,Total,0.8605825519678333,384720.35808275174
2025-02-25 16:46:50,256,500,ball,0.6416171402751489,384720.35808275174
2025-02-25 16:46:50,256,500,inner,1.0,384720.35808275174
2025-02-25 16:46:50,256,500,outer,0.9401305156283513,384720.35808275174
2025-02-25 16:59:16,128,500,Total,0.8612203079374796,367942.66620208166
2025-02-25 16:59:16,128,500,ball,0.6425703228949983,367942.66620208166
2025-02-25 16:59:16,128,500,inner,1.0,367942.66620208166
2025-02-25 16:59:16,128,500,outer,0.9410906009174407,367942.66620208166
2025-02-25 17:11:28,100,500,Total,0.8616844664608012,369920.29885121906
2025-02-25 17:11:28,100,500,ball,0.6438676811404084,369920.29885121906
2025-02-25 17:11:28,100,500,inner,1.0,369920.29885121906
2025-02-25 17:11:28,100,500,outer,0.9411857182419954,369920.29885121906
2025-02-25 17:23:06,4,500,Total,0.8646847156370966,391839.3276086826
2025-02-25 17:23:06,4,500,ball,0.6589954169607849,391839.3276086826
2025-02-25 17:23:06,4,500,inner,1.0,391839.3276086826
2025-02-25 17:23:06,4,500,outer,0.9350587299505048,391839.3276086826
