../../../data/mimii/0_dB/fan.zip already exist.
../../../data/mimii/0_dB/fan.zip already extracted.
../../../data/mimii/0_dB/pump.zip already exist.
../../../data/mimii/0_dB/pump.zip already extracted.
../../../data/mimii/0_dB/slider.zip already exist.
../../../data/mimii/0_dB/slider.zip already extracted.
../../../data/mimii/0_dB/valve.zip already exist.
../../../data/mimii/0_dB/valve.zip already extracted.
[EPOCH: 1] 	Train Loss: 0.2056, 	Train Accuracy: 0.9380
[EPOCH: 1] 	Test Loss: 0.8111, 	Test Accuracy: 0.8054

[EPOCH: 2] 	Train Loss: 0.1199, 	Train Accuracy: 0.9622
[EPOCH: 2] 	Test Loss: 0.8351, 	Test Accuracy: 0.8332

[EPOCH: 3] 	Train Loss: 0.1041, 	Train Accuracy: 0.9666
[EPOCH: 3] 	Test Loss: 0.8519, 	Test Accuracy: 0.8233

[EPOCH: 4] 	Train Loss: 0.0949, 	Train Accuracy: 0.9693
[EPOCH: 4] 	Test Loss: 0.8262, 	Test Accuracy: 0.8112

[EPOCH: 5] 	Train Loss: 0.0885, 	Train Accuracy: 0.9710
[EPOCH: 5] 	Test Loss: 0.8994, 	Test Accuracy: 0.8254

[EPOCH: 6] 	Train Loss: 0.0843, 	Train Accuracy: 0.9724
[EPOCH: 6] 	Test Loss: 0.7872, 	Test Accuracy: 0.8356

[EPOCH: 7] 	Train Loss: 0.0806, 	Train Accuracy: 0.9733
[EPOCH: 7] 	Test Loss: 0.7347, 	Test Accuracy: 0.8248

[EPOCH: 8] 	Train Loss: 0.0777, 	Train Accuracy: 0.9742
[EPOCH: 8] 	Test Loss: 0.9126, 	Test Accuracy: 0.8015

[EPOCH: 9] 	Train Loss: 0.0750, 	Train Accuracy: 0.9749
[EPOCH: 9] 	Test Loss: 0.9337, 	Test Accuracy: 0.8101

[EPOCH: 10] 	Train Loss: 0.0730, 	Train Accuracy: 0.9755
[EPOCH: 10] 	Test Loss: 0.9985, 	Test Accuracy: 0.8127

[EPOCH: 11] 	Train Loss: 0.0714, 	Train Accuracy: 0.9759
[EPOCH: 11] 	Test Loss: 0.9113, 	Test Accuracy: 0.8151

[EPOCH: 12] 	Train Loss: 0.0690, 	Train Accuracy: 0.9765
[EPOCH: 12] 	Test Loss: 0.8829, 	Test Accuracy: 0.8071

[EPOCH: 13] 	Train Loss: 0.0677, 	Train Accuracy: 0.9771
[EPOCH: 13] 	Test Loss: 0.7837, 	Test Accuracy: 0.8269

[EPOCH: 14] 	Train Loss: 0.0664, 	Train Accuracy: 0.9775
[EPOCH: 14] 	Test Loss: 0.8603, 	Test Accuracy: 0.8224

[EPOCH: 15] 	Train Loss: 0.0648, 	Train Accuracy: 0.9779
[EPOCH: 15] 	Test Loss: 0.9242, 	Test Accuracy: 0.8164

[EPOCH: 16] 	Train Loss: 0.0639, 	Train Accuracy: 0.9782
[EPOCH: 16] 	Test Loss: 0.8941, 	Test Accuracy: 0.8216

[EPOCH: 17] 	Train Loss: 0.0628, 	Train Accuracy: 0.9786
[EPOCH: 17] 	Test Loss: 0.9492, 	Test Accuracy: 0.8090

[EPOCH: 18] 	Train Loss: 0.0614, 	Train Accuracy: 0.9789
[EPOCH: 18] 	Test Loss: 0.8817, 	Test Accuracy: 0.8155

[EPOCH: 19] 	Train Loss: 0.0608, 	Train Accuracy: 0.9791
[EPOCH: 19] 	Test Loss: 1.0059, 	Test Accuracy: 0.8002

[EPOCH: 20] 	Train Loss: 0.0597, 	Train Accuracy: 0.9795
[EPOCH: 20] 	Test Loss: 0.9293, 	Test Accuracy: 0.8115

[EPOCH: 21] 	Train Loss: 0.0588, 	Train Accuracy: 0.9796
/data/home/kseorang/.pyenv/versions/3.8.10/lib/python3.8/site-packages/sklearn/metrics/_plot/confusion_matrix.py:129: RuntimeWarning: More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`). Consider using `matplotlib.pyplot.close()`.
  fig, ax = plt.subplots()
[EPOCH: 21] 	Test Loss: 0.9398, 	Test Accuracy: 0.8186

[EPOCH: 22] 	Train Loss: 0.0583, 	Train Accuracy: 0.9798
[EPOCH: 22] 	Test Loss: 0.9587, 	Test Accuracy: 0.8171

[EPOCH: 23] 	Train Loss: 0.0574, 	Train Accuracy: 0.9802
[EPOCH: 23] 	Test Loss: 0.8836, 	Test Accuracy: 0.8240

[EPOCH: 24] 	Train Loss: 0.0570, 	Train Accuracy: 0.9801
[EPOCH: 24] 	Test Loss: 0.9854, 	Test Accuracy: 0.8128

[EPOCH: 25] 	Train Loss: 0.0563, 	Train Accuracy: 0.9804
[EPOCH: 25] 	Test Loss: 0.9145, 	Test Accuracy: 0.8212

[EPOCH: 26] 	Train Loss: 0.0555, 	Train Accuracy: 0.9807
[EPOCH: 26] 	Test Loss: 0.9148, 	Test Accuracy: 0.8041

[EPOCH: 27] 	Train Loss: 0.0548, 	Train Accuracy: 0.9808
[EPOCH: 27] 	Test Loss: 0.9612, 	Test Accuracy: 0.8236

[EPOCH: 28] 	Train Loss: 0.0542, 	Train Accuracy: 0.9812
[EPOCH: 28] 	Test Loss: 0.9652, 	Test Accuracy: 0.8004

[EPOCH: 29] 	Train Loss: 0.0540, 	Train Accuracy: 0.9812
[EPOCH: 29] 	Test Loss: 0.9911, 	Test Accuracy: 0.8005

[EPOCH: 30] 	Train Loss: 0.0535, 	Train Accuracy: 0.9812
[EPOCH: 30] 	Test Loss: 0.9852, 	Test Accuracy: 0.7917

[EPOCH: 31] 	Train Loss: 0.0526, 	Train Accuracy: 0.9813
[EPOCH: 31] 	Test Loss: 1.0147, 	Test Accuracy: 0.8179

[EPOCH: 32] 	Train Loss: 0.0521, 	Train Accuracy: 0.9818
[EPOCH: 32] 	Test Loss: 0.9746, 	Test Accuracy: 0.8122

[EPOCH: 33] 	Train Loss: 0.0517, 	Train Accuracy: 0.9819
[EPOCH: 33] 	Test Loss: 0.9157, 	Test Accuracy: 0.8148

[EPOCH: 34] 	Train Loss: 0.0514, 	Train Accuracy: 0.9820
[EPOCH: 34] 	Test Loss: 0.9908, 	Test Accuracy: 0.8127

[EPOCH: 35] 	Train Loss: 0.0508, 	Train Accuracy: 0.9820
[EPOCH: 35] 	Test Loss: 0.9441, 	Test Accuracy: 0.8218

[EPOCH: 36] 	Train Loss: 0.0500, 	Train Accuracy: 0.9825
[EPOCH: 36] 	Test Loss: 0.9184, 	Test Accuracy: 0.8087

[EPOCH: 37] 	Train Loss: 0.0499, 	Train Accuracy: 0.9824
[EPOCH: 37] 	Test Loss: 1.0122, 	Test Accuracy: 0.7954

[EPOCH: 38] 	Train Loss: 0.0499, 	Train Accuracy: 0.9824
[EPOCH: 38] 	Test Loss: 0.9871, 	Test Accuracy: 0.7931

[EPOCH: 39] 	Train Loss: 0.0491, 	Train Accuracy: 0.9826
[EPOCH: 39] 	Test Loss: 0.9921, 	Test Accuracy: 0.8083

[EPOCH: 40] 	Train Loss: 0.0490, 	Train Accuracy: 0.9827
[EPOCH: 40] 	Test Loss: 0.9891, 	Test Accuracy: 0.8089

[EPOCH: 41] 	Train Loss: 0.0483, 	Train Accuracy: 0.9829
[EPOCH: 41] 	Test Loss: 0.8713, 	Test Accuracy: 0.8168

[EPOCH: 42] 	Train Loss: 0.0483, 	Train Accuracy: 0.9829
[EPOCH: 42] 	Test Loss: 0.9472, 	Test Accuracy: 0.8147

[EPOCH: 43] 	Train Loss: 0.0479, 	Train Accuracy: 0.9830
[EPOCH: 43] 	Test Loss: 0.9262, 	Test Accuracy: 0.8097

