Files already downloaded and verified
[EPOCH: 1] 	Train Loss: 2.2890, 	Train Accuracy: 0.1325
[EPOCH: 1] 	Test Loss: 2.2153, 	Test Accuracy: 0.1679

[EPOCH: 2] 	Train Loss: 2.1708, 	Train Accuracy: 0.1768
[EPOCH: 2] 	Test Loss: 2.0479, 	Test Accuracy: 0.2086

[EPOCH: 3] 	Train Loss: 2.0831, 	Train Accuracy: 0.2007
[EPOCH: 3] 	Test Loss: 1.9659, 	Test Accuracy: 0.2353

[EPOCH: 4] 	Train Loss: 2.0155, 	Train Accuracy: 0.2251
[EPOCH: 4] 	Test Loss: 1.8877, 	Test Accuracy: 0.2719

[EPOCH: 5] 	Train Loss: 1.9585, 	Train Accuracy: 0.2490
[EPOCH: 5] 	Test Loss: 1.8158, 	Test Accuracy: 0.2946

[EPOCH: 6] 	Train Loss: 1.9079, 	Train Accuracy: 0.2776
[EPOCH: 6] 	Test Loss: 1.7424, 	Test Accuracy: 0.3385

[EPOCH: 7] 	Train Loss: 1.8719, 	Train Accuracy: 0.2902
[EPOCH: 7] 	Test Loss: 1.6969, 	Test Accuracy: 0.3554

[EPOCH: 8] 	Train Loss: 1.8330, 	Train Accuracy: 0.3112
[EPOCH: 8] 	Test Loss: 1.6581, 	Test Accuracy: 0.3726

[EPOCH: 9] 	Train Loss: 1.8064, 	Train Accuracy: 0.3251
[EPOCH: 9] 	Test Loss: 1.6161, 	Test Accuracy: 0.4032

[EPOCH: 10] 	Train Loss: 1.7796, 	Train Accuracy: 0.3380
[EPOCH: 10] 	Test Loss: 1.5732, 	Test Accuracy: 0.4209

[EPOCH: 11] 	Train Loss: 1.7526, 	Train Accuracy: 0.3530
[EPOCH: 11] 	Test Loss: 1.5622, 	Test Accuracy: 0.4179

[EPOCH: 12] 	Train Loss: 1.7284, 	Train Accuracy: 0.3628
[EPOCH: 12] 	Test Loss: 1.5369, 	Test Accuracy: 0.4331

[EPOCH: 13] 	Train Loss: 1.7078, 	Train Accuracy: 0.3701
[EPOCH: 13] 	Test Loss: 1.4975, 	Test Accuracy: 0.4503

[EPOCH: 14] 	Train Loss: 1.6847, 	Train Accuracy: 0.3809
[EPOCH: 14] 	Test Loss: 1.4911, 	Test Accuracy: 0.4618

[EPOCH: 15] 	Train Loss: 1.6641, 	Train Accuracy: 0.3905
[EPOCH: 15] 	Test Loss: 1.4689, 	Test Accuracy: 0.4677

[EPOCH: 16] 	Train Loss: 1.6446, 	Train Accuracy: 0.3999
[EPOCH: 16] 	Test Loss: 1.4370, 	Test Accuracy: 0.4741

[EPOCH: 17] 	Train Loss: 1.6295, 	Train Accuracy: 0.4047
[EPOCH: 17] 	Test Loss: 1.4392, 	Test Accuracy: 0.4744

[EPOCH: 18] 	Train Loss: 1.6094, 	Train Accuracy: 0.4151
[EPOCH: 18] 	Test Loss: 1.3852, 	Test Accuracy: 0.4963

[EPOCH: 19] 	Train Loss: 1.5855, 	Train Accuracy: 0.4233
[EPOCH: 19] 	Test Loss: 1.3892, 	Test Accuracy: 0.5022

[EPOCH: 20] 	Train Loss: 1.5702, 	Train Accuracy: 0.4325
[EPOCH: 20] 	Test Loss: 1.3420, 	Test Accuracy: 0.5210

[EPOCH: 21] 	Train Loss: 1.5473, 	Train Accuracy: 0.4412
[EPOCH: 21] 	Test Loss: 1.3468, 	Test Accuracy: 0.5125

[EPOCH: 22] 	Train Loss: 1.5363, 	Train Accuracy: 0.4449
[EPOCH: 22] 	Test Loss: 1.3331, 	Test Accuracy: 0.5246

[EPOCH: 23] 	Train Loss: 1.5270, 	Train Accuracy: 0.4496
[EPOCH: 23] 	Test Loss: 1.3373, 	Test Accuracy: 0.5239

[EPOCH: 24] 	Train Loss: 1.5089, 	Train Accuracy: 0.4582
[EPOCH: 24] 	Test Loss: 1.3025, 	Test Accuracy: 0.5307

[EPOCH: 25] 	Train Loss: 1.4992, 	Train Accuracy: 0.4572
[EPOCH: 25] 	Test Loss: 1.2741, 	Test Accuracy: 0.5390

[EPOCH: 26] 	Train Loss: 1.4844, 	Train Accuracy: 0.4653
[EPOCH: 26] 	Test Loss: 1.2563, 	Test Accuracy: 0.5581

[EPOCH: 27] 	Train Loss: 1.4702, 	Train Accuracy: 0.4671
[EPOCH: 27] 	Test Loss: 1.2572, 	Test Accuracy: 0.5438

[EPOCH: 28] 	Train Loss: 1.4604, 	Train Accuracy: 0.4742
[EPOCH: 28] 	Test Loss: 1.2267, 	Test Accuracy: 0.5599

[EPOCH: 29] 	Train Loss: 1.4505, 	Train Accuracy: 0.4793
[EPOCH: 29] 	Test Loss: 1.2194, 	Test Accuracy: 0.5662

[EPOCH: 30] 	Train Loss: 1.4356, 	Train Accuracy: 0.4836
[EPOCH: 30] 	Test Loss: 1.2181, 	Test Accuracy: 0.5640

[EPOCH: 31] 	Train Loss: 1.4214, 	Train Accuracy: 0.4885
[EPOCH: 31] 	Test Loss: 1.1981, 	Test Accuracy: 0.5683

[EPOCH: 32] 	Train Loss: 1.4133, 	Train Accuracy: 0.4926
[EPOCH: 32] 	Test Loss: 1.1945, 	Test Accuracy: 0.5723

[EPOCH: 33] 	Train Loss: 1.4045, 	Train Accuracy: 0.4988
[EPOCH: 33] 	Test Loss: 1.2058, 	Test Accuracy: 0.5635

[EPOCH: 34] 	Train Loss: 1.3912, 	Train Accuracy: 0.4999
[EPOCH: 34] 	Test Loss: 1.1685, 	Test Accuracy: 0.5813

[EPOCH: 35] 	Train Loss: 1.3867, 	Train Accuracy: 0.5015
[EPOCH: 35] 	Test Loss: 1.1667, 	Test Accuracy: 0.5823

[EPOCH: 36] 	Train Loss: 1.3704, 	Train Accuracy: 0.5072
[EPOCH: 36] 	Test Loss: 1.1596, 	Test Accuracy: 0.5852

[EPOCH: 37] 	Train Loss: 1.3653, 	Train Accuracy: 0.5098
[EPOCH: 37] 	Test Loss: 1.1310, 	Test Accuracy: 0.5860

[EPOCH: 38] 	Train Loss: 1.3575, 	Train Accuracy: 0.5126
[EPOCH: 38] 	Test Loss: 1.1448, 	Test Accuracy: 0.5906

[EPOCH: 39] 	Train Loss: 1.3426, 	Train Accuracy: 0.5175
[EPOCH: 39] 	Test Loss: 1.1245, 	Test Accuracy: 0.5959

[EPOCH: 40] 	Train Loss: 1.3401, 	Train Accuracy: 0.5181
[EPOCH: 40] 	Test Loss: 1.1264, 	Test Accuracy: 0.5997

[EPOCH: 41] 	Train Loss: 1.3296, 	Train Accuracy: 0.5247
[EPOCH: 41] 	Test Loss: 1.1078, 	Test Accuracy: 0.6056

[EPOCH: 42] 	Train Loss: 1.3257, 	Train Accuracy: 0.5241
[EPOCH: 42] 	Test Loss: 1.1255, 	Test Accuracy: 0.5958

[EPOCH: 43] 	Train Loss: 1.3193, 	Train Accuracy: 0.5272
[EPOCH: 43] 	Test Loss: 1.1090, 	Test Accuracy: 0.6004

[EPOCH: 44] 	Train Loss: 1.3085, 	Train Accuracy: 0.5335
[EPOCH: 44] 	Test Loss: 1.0961, 	Test Accuracy: 0.6067

[EPOCH: 45] 	Train Loss: 1.3003, 	Train Accuracy: 0.5330
[EPOCH: 45] 	Test Loss: 1.0852, 	Test Accuracy: 0.6112

[EPOCH: 46] 	Train Loss: 1.2979, 	Train Accuracy: 0.5379
[EPOCH: 46] 	Test Loss: 1.0915, 	Test Accuracy: 0.6129

[EPOCH: 47] 	Train Loss: 1.2869, 	Train Accuracy: 0.5402
[EPOCH: 47] 	Test Loss: 1.1113, 	Test Accuracy: 0.6024

[EPOCH: 48] 	Train Loss: 1.2789, 	Train Accuracy: 0.5419
[EPOCH: 48] 	Test Loss: 1.0688, 	Test Accuracy: 0.6130

[EPOCH: 49] 	Train Loss: 1.2729, 	Train Accuracy: 0.5455
[EPOCH: 49] 	Test Loss: 1.0823, 	Test Accuracy: 0.6091

[EPOCH: 50] 	Train Loss: 1.2636, 	Train Accuracy: 0.5490
[EPOCH: 50] 	Test Loss: 1.0565, 	Test Accuracy: 0.6196

